date,horizontal_index,close_s,open_s,high_s,low_s,ema_s,ema_sma_50,day_high,day_low
2020-01-01,0,25000,24980,25010,24980,25000,12210,25010,24980
2020-01-01,1,25000,24980,25010,24980,25000,12210,25010,24980
2020-01-01,2,25010,25000,25015,24995,25000,12210,25015,24980
2020-01-01,3,25020,25005,25020,25000,25000,12210,25020,24980
2020-01-01,4,25005,25020,25020,25000,25000,12210,25020,24980
2020-01-01,5,24990,25005,25005,24985,25000,12210,25020,24980
2020-01-01,6,24980,24990,24995,24970,25000,12210,25020,24970
2020-01-01,7,24965,24980,24985,24960,24995,12210,25020,24960
2020-01-01,8,24975,24965,24985,24960,24995,12210,25020,24960
2020-01-01,9,24980,24980,24985,24975,24995,12210,25020,24960
2020-01-01,10,24970,24980,24980,24965,24990,12210,25020,24960
2020-01-01,11,24950,24970,24970,24950,24990,12210,25020,24950
2020-01-01,12,24960,24955,24970,24950,24990,12210,25020,24950
2020-01-01,13,24965,24960,24965,24955,24985,12210,25020,24950
2020-01-01,14,24975,24970,24985,24970,24985,12210,25020,24950
2020-01-01,15,24980,24975,24985,24970,24985,12210,25020,24950
2020-01-01,16,24975,24980,24980,24965,24985,12210,25020,24950
2020-01-01,17,24970,24980,24980,24965,24985,12205,25020,24950
2020-01-01,18,24970,24975,24980,24970,24985,12205,25020,24950
2020-01-01,19,24950,24970,24975,24950,24985,12205,25020,24950
2020-01-01,20,24940,24955,24955,24925,24980,12205,25020,24925
2020-01-01,21,24945,24940,24945,24940,24975,12205,25020,24925
2020-01-01,22,24950,24945,24960,24945,24975,12205,25020,24925
2020-01-01,23,24960,24950,24965,24950,24975,12205,25020,24925
2020-01-01,24,24960,24960,24965,24955,24975,12205,25020,24925
2020-01-01,25,24960,24960,24965,24960,24975,12205,25020,24925
2020-01-01,26,24950,24965,24965,24945,24975,12205,25020,24925
2020-01-01,27,24950,24950,24955,24945,24970,12200,25020,24925
2020-01-01,28,24965,24955,24965,24955,24970,12200,25020,24925
2020-01-01,29,24960,24965,24965,24955,24970,12200,25020,24925
2020-01-01,30,24955,24960,24960,24955,24970,12200,25020,24925
2020-01-01,31,24960,24955,24960,24955,24970,12200,25020,24925
2020-01-01,32,24950,24960,24960,24950,24970,12200,25020,24925
2020-01-01,33,24955,24955,24955,24945,24970,12200,25020,24925
2020-01-01,34,24975,24950,24980,24950,24970,12200,25020,24925
2020-01-01,35,24975,24975,24980,24975,24970,12200,25020,24925
2020-01-01,36,24980,24975,24980,24970,24975,12200,25020,24925
2020-01-01,37,24985,24980,24990,24980,24975,12200,25020,24925
2020-01-01,38,24965,24985,24985,24960,24975,12195,25020,24925
2020-01-01,39,24950,24965,24965,24950,24970,12195,25020,24925
2020-01-01,40,24955,24950,24955,24935,24970,12195,25020,24925
2020-01-01,41,24960,24955,24965,24955,24970,12195,25020,24925
2020-01-01,42,24960,24960,24965,24955,24970,12195,25020,24925
2020-01-01,43,24970,24960,24975,24960,24970,12195,25020,24925
2020-01-01,44,24970,24970,24975,24970,24970,12195,25020,24925
2020-01-01,45,24975,24970,24975,24965,24975,12195,25020,24925
2020-01-01,46,24975,24975,24975,24970,24975,12195,25020,24925
2020-01-01,47,24975,24975,24975,24970,24975,12195,25020,24925
2020-01-01,48,24960,24975,24975,24960,24975,12195,25020,24925
2020-01-01,49,24965,24960,24965,24955,24975,12195,25020,24925
2020-01-01,50,24970,24965,24980,24965,24975,12195,25020,24925
2020-01-01,51,24980,24970,24980,24965,24975,12195,25020,24925
2020-01-01,52,24980,24980,24990,24980,24975,12190,25020,24925
2020-01-01,53,24975,24985,24985,24970,24980,12190,25020,24925
2020-01-01,54,24980,24975,24985,24975,24980,12190,25020,24925
2020-01-01,55,24980,24985,24985,24980,24980,12190,25020,24925
2020-01-01,56,25005,24985,25005,24980,24985,12190,25020,24925
2020-01-01,57,25005,25005,25020,25000,24985,12190,25020,24925
