,sz,bd,sn,uw,lw,id
0,20.0,12.0,-1.0,0.0,9.0,10000
1,10.0,4.0,1.0,3.0,3.0,10001
2,4.0,2.0,1.0,1.0,1.0,10002
3,8.0,2.0,1.0,1.0,5.0,10003
4,16.0,12.0,1.0,4.0,0.0,10004
5,5.0,1.0,1.0,1.0,4.0,10005
6,3.0,2.0,-1.0,0.0,1.0,10006
7,8.0,3.0,1.0,5.0,0.0,10007
8,14.0,14.0,-1.0,0.0,0.0,10008
9,18.0,10.0,-1.0,0.0,8.0,10009
10,10.0,6.0,-1.0,1.0,3.0,10010
11,26.0,18.0,-1.0,0.0,8.0,10011
12,9.0,3.0,1.0,1.0,5.0,10012
13,7.0,4.0,1.0,3.0,0.0,10013
14,8.0,2.0,-1.0,6.0,1.0,10014
15,12.0,5.0,-1.0,2.0,5.0,10015
16,17.0,14.0,-1.0,1.0,2.0,10016
17,9.0,3.0,1.0,0.0,6.0,10017
18,7.0,4.0,-1.0,1.0,3.0,10018
19,8.0,8.0,1.0,0.0,1.0,10019
20,7.0,5.0,-1.0,1.0,0.0,10020
21,10.0,6.0,-1.0,0.0,4.0,10021
22,15.0,12.0,-1.0,3.0,0.0,10022
23,13.0,7.0,-1.0,5.0,0.0,10023
24,12.0,7.0,-1.0,0.0,4.0,10024
25,12.0,3.0,-1.0,3.0,6.0,10025
26,9.0,5.0,1.0,2.0,2.0,10026
27,6.0,2.0,-1.0,2.0,2.0,10027
28,4.0,1.0,-1.0,3.0,0.0,10028
29,8.0,5.0,-1.0,1.0,3.0,10029
30,19.0,15.0,-1.0,1.0,3.0,10030
31,8.0,4.0,1.0,3.0,1.0,10031
32,5.0,3.0,1.0,1.0,1.0,10032
33,7.0,2.0,1.0,1.0,4.0,10033
34,8.0,5.0,1.0,3.0,0.0,10034
35,10.0,9.0,1.0,0.0,1.0,10035
36,10.0,9.0,-1.0,0.0,1.0,10036
37,11.0,6.0,1.0,5.0,0.0,10037
38,8.0,6.0,-1.0,2.0,0.0,10038
39,5.0,0.0,1.0,1.0,4.0,10039
40,4.0,2.0,-1.0,3.0,0.0,10040
