bd,sn,uw,lw,sz,id
36,-1.0,0,27,63,1
13,1.0,10,10,33,2
7,1.0,4,2,13,3
6,1.0,3,17,26,4
37,1.0,12,0,49,5
3,1.0,2,11,16,6
5,-1.0,1,2,8,7
9,1.0,16,0,25,8
44,-1.0,0,1,45,9
31,-1.0,0,26,57,10
20,-1.0,3,10,33,11
57,-1.0,0,24,81,12
9,1.0,3,16,28,13
12,1.0,9,1,22,14
6,-1.0,18,3,27,15
15,-1.0,6,15,36,16
45,-1.0,3,5,53,17
10,1.0,0,20,30,18
13,-1.0,2,8,23,19
24,1.0,1,2,27,20
17,-1.0,4,2,23,21
18,-1.0,0,14,32,22
37,-1.0,9,0,46,23
23,-1.0,16,1,40,24
23,-1.0,1,13,37,25
10,-1.0,9,18,37,26
16,1.0,7,6,29,27
7,-1.0,5,7,19,28
4,-1.0,9,0,13,29
16,-1.0,2,8,26,30
49,-1.0,2,8,59,31
12,1.0,10,3,25,32
9,1.0,2,3,14,33
8,1.0,2,13,23,34
16,1.0,8,0,24,35
29,1.0,0,3,32,36
28,-1.0,0,3,31,37
18,1.0,16,0,34,38
18,-1.0,5,0,23,39
0,1.0,2,14,16,40
5,-1.0,9,0,14,41
5,-1.0,1,10,16,42
2,-1.0,14,3,19,43
8,-1.0,6,0,14,44
8,1.0,4,0,12,45
18,-1.0,6,0,24,46
24,-1.0,1,1,26,47
0,-1.0,6,6,12,48
2,-1.0,12,10,24,49
12,-1.0,2,3,17,50
13,1.0,1,1,15,51
7,-1.0,9,1,17,52
35,-1.0,2,2,39,53
15,1.0,4,3,22,54
36,-1.0,4,3,43,55
13,1.0,4,5,22,56
22,-1.0,3,3,28,57
12,1.0,2,11,25,58
13,1.0,1,12,26,59
3,1.0,7,0,10,60
25,1.0,2,5,32,61
20,-1.0,2,2,24,62
18,1.0,5,1,24,63
27,-1.0,5,2,34,64
22,-1.0,5,9,36,65
3,-1.0,6,4,13,66
9,-1.0,15,0,24,67
38,1.0,6,9,53,68
31,1.0,2,2,35,69
29,-1.0,13,3,45,70
10,-1.0,3,8,21,71
38,-1.0,0,3,41,72
3,1.0,9,11,23,73
20,1.0,3,6,29,74
9,-1.0,9,3,21,75
3,-1.0,20,22,45,76
27,-1.0,21,4,52,77
22,-1.0,1,4,27,78
7,1.0,6,21,34,79
26,-1.0,2,10,38,80
7,-1.0,8,11,26,81
4,-1.0,1,10,15,82
45,-1.0,0,2,47,83
54,1.0,0,0,54,84
3,-1.0,6,16,25,85
14,1.0,2,1,17,86
13,1.0,3,4,20,87
9,1.0,9,8,26,88
12,1.0,6,11,29,89
6,-1.0,6,3,15,90
21,-1.0,3,2,26,91
18,-1.0,3,3,24,92
2,-1.0,5,3,10,93
31,-1.0,0,0,31,94
18,-1.0,0,2,20,95
8,-1.0,7,5,20,96
38,-1.0,9,3,50,97
18,1.0,7,0,25,98
9,-1.0,2,18,29,99
15,-1.0,0,3,18,100
34,1.0,0,2,36,101
15,-1.0,1,7,23,102
2,-1.0,8,4,14,103
15,-1.0,9,0,24,104
19,-1.0,0,6,25,105
22,1.0,0,5,27,106
12,1.0,1,6,19,107
21,1.0,0,0,21,108
0,-1.0,15,3,18,109
16,1.0,4,9,29,110
19,1.0,5,6,30,111
9,-1.0,8,6,23,112
14,-1.0,1,3,18,113
35,1.0,0,1,36,114
5,-1.0,0,7,12,115
3,-1.0,1,15,19,116
21,1.0,1,13,35,117
12,1.0,6,3,21,118
3,1.0,1,14,18,119
1,-1.0,13,9,23,120
2,-1.0,10,11,23,121
22,1.0,3,3,28,122
11,-1.0,0,9,20,123
11,-1.0,3,3,17,124
5,-1.0,11,1,17,125
1,-1.0,0,24,25,126
14,1.0,0,2,16,127
4,1.0,12,3,19,128
22,-1.0,2,14,38,129
9,-1.0,0,9,18,130
13,-1.0,3,6,22,131
11,1.0,0,14,25,132
4,-1.0,3,10,17,133
13,1.0,5,0,18,134
16,1.0,13,10,39,135
2,-1.0,4,7,13,136
1,-1.0,8,1,10,137
8,-1.0,0,8,16,138
12,-1.0,6,0,18,139
6,-1.0,5,1,12,140
32,-1.0,2,3,37,141
13,1.0,11,1,25,142
4,-1.0,0,17,21,143
0,-1.0,8,7,15,144
8,-1.0,4,16,28,145
26,1.0,1,2,29,146
19,-1.0,1,4,24,147
1,1.0,5,7,13,148
8,-1.0,3,3,14,149
12,-1.0,2,7,21,150
16,-1.0,9,55,80,151
45,-1.0,1,21,67,152
9,1.0,12,9,30,153
3,-1.0,23,1,27,154
15,1.0,5,9,29,155
17,-1.0,5,6,28,156
3,1.0,3,8,14,157
2,1.0,17,1,20,158
7,-1.0,0,10,17,159
8,1.0,12,1,21,160
3,1.0,6,2,11,161
4,1.0,6,11,21,162
28,1.0,0,1,29,163
2,-1.0,8,11,21,164
23,1.0,24,0,47,165
6,-1.0,15,2,23,166
6,-1.0,6,8,20,167
10,1.0,6,0,16,168
5,1.0,3,12,20,169
7,-1.0,8,7,22,170
21,1.0,5,0,26,171
14,-1.0,1,8,23,172
3,1.0,5,3,11,173
9,1.0,5,2,16,174
33,-1.0,3,1,37,175
12,-1.0,6,4,22,176
23,1.0,3,0,26,177
6,-1.0,0,11,17,178
9,1.0,0,12,21,179
13,-1.0,0,2,15,180
9,1.0,1,13,23,181
4,1.0,3,18,25,182
7,1.0,12,1,20,183
10,1.0,0,3,13,184
7,-1.0,2,8,17,185
5,-1.0,8,4,17,186
6,-1.0,10,9,25,187
4,-1.0,6,1,11,188
2,1.0,3,3,8,189
4,-1.0,4,7,15,190
4,-1.0,4,9,17,191
6,-1.0,1,4,11,192
15,-1.0,3,5,23,193
12,1.0,0,4,16,194
7,1.0,6,12,25,195
8,-1.0,7,3,18,196
37,1.0,0,4,41,197
3,1.0,5,13,21,198
15,1.0,13,3,31,199
7,-1.0,6,0,13,200
9,-1.0,2,4,15,201
12,-1.0,0,5,17,202
12,-1.0,1,9,22,203
2,1.0,9,8,19,204
10,-1.0,1,13,24,205
114,-1.0,0,1,115,206
28,-1.0,20,4,52,207
31,-1.0,9,0,40,208
17,-1.0,12,0,29,209
40,1.0,11,7,58,210
27,1.0,3,26,56,211
11,-1.0,14,3,28,212
2,1.0,20,9,31,213
18,1.0,0,17,35,214
9,-1.0,4,3,16,215
3,1.0,5,8,16,216
15,1.0,4,2,21,217
10,1.0,13,0,23,218
6,-1.0,1,16,23,219
34,-1.0,1,2,37,220
9,-1.0,12,3,24,221
8,1.0,1,13,22,222
10,-1.0,7,0,17,223
14,-1.0,2,5,21,224
60,-1.0,0,35,95,225
10,-1.0,0,34,44,226
15,1.0,2,8,25,227
43,-1.0,3,0,46,228
15,-1.0,1,29,45,229
20,-1.0,6,11,37,230
20,1.0,12,9,41,231
11,1.0,12,4,27,232
17,-1.0,2,10,29,233
12,1.0,6,0,18,234
3,-1.0,10,8,21,235
19,-1.0,1,7,27,236
2,-1.0,7,11,20,237
22,-1.0,2,11,35,238
20,-1.0,1,7,28,239
6,-1.0,7,3,16,240
34,1.0,4,2,40,241
13,1.0,0,5,18,242
10,1.0,14,0,24,243
10,1.0,1,7,18,244
0,1.0,1,16,17,245
8,-1.0,11,8,27,246
31,-1.0,0,2,33,247
0,0.0,3,17,20,248
11,-1.0,6,11,28,249
11,-1.0,6,2,19,250
18,1.0,0,3,21,251
15,-1.0,2,7,24,252
30,-1.0,8,31,69,253
15,-1.0,8,0,23,254
3,1.0,5,12,20,255
13,-1.0,16,1,30,256
7,-1.0,0,15,22,257
3,1.0,18,1,22,258
30,-1.0,3,0,33,259
4,1.0,0,21,25,260
15,1.0,4,4,23,261
38,1.0,8,1,47,262
30,-1.0,6,4,40,263
5,-1.0,4,10,19,264
5,1.0,5,4,14,265
15,-1.0,2,3,20,266
0,1.0,11,4,15,267
9,1.0,12,1,22,268
15,1.0,3,2,20,269
11,1.0,18,7,36,270
9,-1.0,10,0,19,271
21,-1.0,6,0,27,272
2,-1.0,5,11,18,273
10,1.0,4,2,16,274
3,-1.0,6,6,15,275
8,1.0,14,14,36,276
26,-1.0,6,1,33,277
36,1.0,9,0,45,278
9,-1.0,7,11,27,279
16,1.0,1,5,22,280
3,-1.0,8,11,22,281
32,-1.0,2,0,34,282
10,-1.0,5,13,28,283
13,1.0,2,5,20,284
27,1.0,20,0,47,285
37,-1.0,3,5,45,286
24,-1.0,7,3,34,287
14,1.0,5,2,21,288
24,-1.0,7,15,46,289
3,1.0,1,34,38,290
22,-1.0,1,9,32,291
3,1.0,0,15,18,292
24,1.0,14,4,42,293
9,1.0,1,3,13,294
30,-1.0,1,9,40,295
